ID,Link,Movie_Name,Tags
38,https://www.imdb.com/title/tt0268978/?ref_=sr_t_243,A Beautiful Mind,"drama mysteri & thriller russel crow ed harri jennif connelli christoph plummer paul bettani adam goldberg josh luca anthoni rapp jason gray-stanford judd hirsch austin pendleton vivien cardon jilli simon victor steinbach tanya clark thoma f. walsh jess doran kent cassella univers pictur dreamwork pictur imagin entertain a mathemat genius, john nash made an astonish discoveri earli in hi career and stood on the brink of intern acclaim. but the handsom and arrog nash soon found himself on a harrow journey of self-discovery. ron howard akiva goldsman sylvia nasar"
39,https://www.imdb.com/title/tt0075784/?ref_=sr_t_472,A Bridge Too Far,"drama sean conneri ryan o'neal michael cain laurenc olivi siem vroom marli van alcmaer erik van 't wout wolfgang preiss han von borsodi josephin peeper dirk bogard paul maxwel gene hackman walter kohut peter faber hartmut becker frank grime jeremi kemp joseph e. levin product oper market garden, septemb 1944: the alli attempt to captur sever strateg import bridg in the netherland in the hope of break the german lines. richard attenborough corneliu ryan william goldman"
40,https://www.imdb.com/title/tt0106489/?ref_=sr_t_483,A Bronx Tale,"drama mysteri & thriller robert de niro chazz palminteri lillo brancato franci capra taral hick kathrin narducci clem caserta alfr sauchelli jr. frank pietrangolar joe pesci robert d'andrea eddi montanaro fred fischer dave salerno joseph d'onofrio luigi d'angelo loui vanaria dominick rocchio price entertain penta entertain tribeca product an intens drama about a boy torn between hi tough, hard-work father and a violent yet charismat crime boss. robert de niro chazz palminteri chazz palminteri"
41,https://www.imdb.com/title/tt0120623/?ref_=sr_t_145,A Bug's Life,"adventur anim comedi kid & famili kevin spacey dave foley julia louis-dreyfu hayden panettier phylli diller richard kind david hyde pierc joe ranft deni leari jonathan harri madelin kahn bonni hunt michael mcshane john ratzenberg brad garrett roddi mcdowal edi mcclurg alex rocco walt disney pictur pixar anim studio a misfit ant, look for ""warriors"" to save hi coloni from greedi grasshoppers, recruit a group of bug that turn out to be an inept circu troupe. john lasset andrew stanton john lasset andrew stanton joe ranft andrew stanton don mceneri bob shaw"
42,https://www.imdb.com/title/tt1067106/?ref_=sr_t_401,A Christmas Carol,"adventur anim comedi drama fantasi kid & famili jim carrey gari oldman colin firth steve valentin daryl sabara sage ryan amber gainey mead ryan ochoa bobbi page ron bottitta samantha hanratti julian holloway cari elw robin wright bob hoskin jacqui barnbrook lesley manvil molli c. quinn walt disney pictur imagemov digit imagemov ebenez scrooge, a miserli old moneylend is visit by three christma spirit on christma eve. scroog embark on a journey of self-redempt to mend hi miserli way robert zemecki charl dicken robert zemecki"
43,https://www.imdb.com/title/tt0085334/?ref_=sr_t_243,A Christmas Story,"comedi kid & famili peter billingsley melinda dillon darren mcgavin scott schwartz jean shepherd ian petrella tedd moor rd robb zack ward yano anaya jeff gillen colin fox paul hubbard lesli carlson jim hunter patti johnson drew hocevar david svoboda metro-goldwyn-may (mgm) christma tree film in the 1940s, a young boy name ralphi parker attempt to convinc hi parents, teacher, and santa clau that a red ryder rang 200 shot bb gun realli is the perfect christma gift. bob clark jean shepherd jean shepherd leigh brown bob clark"
44,https://www.imdb.com/title/tt0356470/?ref_=sr_t_209,A Cinderella Story,"comedi kid & famili romanc hilari duff chad michael murray jennif coolidg dan byrd regina king juli gonzalo lin shay madelin zima andrea averi ray mari pat gleason paul rodriguez whip hubley kevin kilner erica hubbard simon helberg bradley joseph jd pardo aimee-lynn chadwick warner bros. gaylord film clifford werber product routin exploit by her wick stepmother, the downtrodden samantha montgomeri is excit about the prospect of meet her internet beau at the school' halloween dance. mark rosman leigh dunlap"
45,https://www.imdb.com/title/tt0066921/?ref_=sr_t_394,A Clockwork Orange,comedi mysteri & thriller sci-fi malcolm mcdowel patrick mage michael bate warren clark john clive adrienn corri carl duer paul farrel clive franci michael gover miriam karlin jame marcu aubrey morri godfrey quigley sheila raynor madg ryan john savid anthoni sharp warner bros. polari product hawk film alex delarg and hi droog barbar a decay near-future. stanley kubrick stanley kubrick anthoni burgess
46,https://www.imdb.com/title/tt4731136/?ref_=sr_t_497,A Cure for Wellness,"drama fantasi horror mysteri & thriller sci-fi dane dehaan jason isaac mia goth ivo nandi adrian schiller celia imri harri groener toma norström ashok mandanna magnu krepper peter benedict michael mendl maggi steed craig wroe david bishin lisa bane carl lumbl tom flynn new regenc product blind wink product new regenc product an ambiti young execut is sent to retriev hi company' ceo from an idyl but mysteri ""well center"" at a remot locat in the swiss alps, but soon suspect that the spa' treatment are not what they seem. gore verbinski justin hayth justin hayth gore verbinski"
47,https://www.imdb.com/title/tt1571222/?ref_=sr_t_222,A Dangerous Method,drama romanc michael fassbend keira knightley viggo mortensen vincent cassel sarah gadon andré hennick arndt schwering-sohnrey mignon remé mareik carrièr franziska arndt wladimir matuchin andré dietz anna thalbach sarah marecek bjorn gesk marku haas christian serritiello clemen giebel record pictur compani (rpc) lago film prospero pictur a look at how the intens relationship between carl jung and sigmund freud give birth to psychoanalysis. david cronenberg christoph hampton christoph hampton john kerr
