,Movie_Name,Ratings,Release_Date,Duration,Original_Language,Description,Box Office,Certificate (MPAA),Month,Category_Encoded,Film_Actor_Encoded,Writer_Encoded,Companies_Encoded,Directors_Encoded
960,479,0.69,1974-07-24,93,5,43,22000000,7,7,107,1734,1762,1755,876
963,480,0.63,2022-02-11,127,5,2345,137307235,6,2,335,1355,914,1877,743
968,481,0.51,2006-11-22,93,5,2168,47232776,5,11,324,608,844,335,676
970,482,0.63,1998-05-08,120,5,113,349464664,6,5,47,1025,1784,471,897
972,483,0.71,2016-09-30,107,5,184,121790373,6,9,48,551,864,710,975
975,484,0.71,2006-11-22,126,5,769,180557550,6,11,79,1981,1523,798,146
977,485,0.76,1972-08-18,109,5,1520,4550,7,8,210,229,317,1307,628
978,486,0.7,2016-04-08,101,5,564,4366460,7,4,302,2378,1790,1384,572
979,487,0.67,1993-10-08,115,5,439,58056466,7,10,79,1285,1130,1252,803
981,488,0.7,2018-01-19,140,5,931,80509622,7,1,107,2218,1888,606,275
988,489,0.71,1995-08-25,104,5,1275,25405445,7,8,48,658,1261,1549,1053
990,490,0.76,2010-07-09,95,5,1319,544174973,5,7,158,1245,1922,1100,1001
991,491,0.73,2013-07-03,98,5,2264,970766005,5,7,158,1248,1924,1100,1001
992,492,0.63,2017-06-30,89,5,1317,1034800131,5,6,158,1249,1924,2089,759
993,493,0.62,2024-07-03,94,5,1318,969126452,5,7,158,1247,961,1100,267
1003,494,0.65,1971-12-17,120,5,166,43830091,5,12,1,1156,1216,1845,498
1004,495,0.62,2010-03-19,94,5,1315,76196538,5,3,301,1570,293,1964,99
1005,496,0.62,1990-06-15,105,5,1934,162738726,5,6,84,1507,1849,812,169
1007,497,0.57,2024-10-18,91,5,1877,8504,10,10,375,1700,774,1689,791
1008,498,0.61,2002-11-22,133,5,1545,431971781,6,11,1,934,247,1844,774
1010,499,0.82,1988-07-20,132,5,44,143651650,7,7,130,1674,1279,947,660
1011,500,0.71,1990-07-03,124,5,1572,240031274,7,7,80,1672,1481,947,1017
1012,501,0.76,1995-05-19,128,5,1570,366101666,7,5,29,1666,577,1523,660
1014,502,0.64,2000-05-19,82,5,981,349822765,5,5,167,1877,491,1164,417
1016,503,0.71,1987-08-21,100,5,1842,214577242,6,8,329,883,15,2031,412
